A00|Polish (Sokolsky) opening||b4 
A00|Polish|Tuebingen variation|b4 Nh6 
A00|Polish|Outflank variation|b4 c6 
A00|Benko's opening||g3 
A00|Lasker simul special||g3 h5 
A00|Benko's opening|reversed Alekhine|g3 e5 Nf3 
A00|Grob's attack||g4 
A00|Grob|spike attack|g4 d5 Bg2 c6 g5 
A00|Grob|Fritz gambit|g4 d5 Bg2 Bxg4 c4 
A00|Grob|Romford counter-gambit|g4 d5 Bg2 Bxg4 c4 d4 
A00|Clemenz (Mead's, Basman's or de Klerk's) opening||h3 
A00|Global opening||h3 e5 a3 
A00|Amar (Paris) opening||Nh3 
A00|Amar gambit||Nh3 d5 g3 e5 f4 Bxh3 Bxh3 exf4 
A00|Dunst (Sleipner, Heinrichsen) opening||Nc3 
A00|Dunst (Sleipner,Heinrichsen) opening||Nc3 e5 
A00|Battambang opening||Nc3 e5 a3 
A00|Novosibirsk opening||Nc3 c5 d4 cxd4 Qxd4 Nc6 Qh4 
A00|Anderssen's opening||a3 
A00|Ware (Meadow Hay) opening||a4 
A00|Crab opening||a4 e5 h4 
A00|Saragossa opening||c3 
A00|Mieses opening||d3 
A00|Mieses opening||d3 e5 
A00|Valencia opening||d3 e5 Nd2 
A00|Venezolana opening||d3 c5 Nc3 Nc6 g3 
A00|Van't Kruijs opening||e3 
A00|Amsterdam attack||e3 e5 c4 d6 Nc3 Nc6 b3 Nf6 
A00|Gedult's opening||f3 
A00|Hammerschlag (Fried fox/Pork chop opening)||f3 e5 Kf2 
A00|Anti-Borg (Desprez) opening||h4 
A00|Durkin's attack||Na3 
A01|Nimzovich-Larsen attack||b3 
A01|Nimzovich-Larsen attack|modern variation|b3 e5 
A01|Nimzovich-Larsen attack|Indian variation|b3 Nf6 
A01|Nimzovich-Larsen attack|classical variation|b3 d5 
A01|Nimzovich-Larsen attack|English variation|b3 c5 
A01|Nimzovich-Larsen attack|Dutch variation|b3 f5 
A01|Nimzovich-Larsen attack|Polish variation|b3 b5 
A01|Nimzovich-Larsen attack|symmetrical variation|b3 b6 
A02|Bird's opening||f4 
A02|Bird|From gambit|f4 e5 
A02|Bird|From gambit, Lasker variation|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5 
A02|Bird|From gambit, Lipke variation|f4 e5 fxe5 d6 exd6 Bxd6 Nf3 Nh6 d4 
A02|Bird's opening, Swiss gambit||f4 f5 e4 fxe4 Nc3 Nf6 g4 
A02|Bird|Hobbs gambit|f4 g5 
A03|Bird's opening||f4 d5 
A03|Mujannah opening||f4 d5 c4 
A03|Bird's opening|Williams gambit|f4 d5 e4 
A03|Bird's opening|Lasker variation|f4 d5 Nf3 Nf6 e3 c5 
A04|Reti opening||Nf3 
A04|Reti v Dutch||Nf3 f5 
A04|Reti|Pirc-Lisitsin gambit|Nf3 f5 e4 
A04|Reti|Lisitsin gambit deferred|Nf3 f5 d3 Nf6 e4 
A04|Reti opening||Nf3 d6 
A04|Reti|Wade defence|Nf3 d6 e4 Bg4 
A04|Reti|Herrstroem gambit|Nf3 g5 
A05|Reti opening||Nf3 Nf6 
A05|Reti|King's Indian attack, Spassky's variation|Nf3 Nf6 g3 b5 
A05|Reti|King's Indian attack|Nf3 Nf6 g3 g6 
A05|Reti|King's Indian attack, Reti-Smyslov variation|Nf3 Nf6 g3 g6 b4 
A06|Reti opening||Nf3 d5 
A06|Reti|old Indian attack|Nf3 d5 d3 
A06|Santasiere's folly||Nf3 d5 b4 
A06|Tennison (Lemberg, Zukertort) gambit||Nf3 d5 e4 
A06|Reti|Nimzovich-Larsen attack|Nf3 d5 b3 
A07|Reti|King's Indian attack (Barcza system)|Nf3 d5 g3 
A07|Reti|King's Indian attack, Yugoslav variation|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 
A07|Reti|King's Indian attack, Keres variation|Nf3 d5 g3 Bg4 Bg2 Nd7 
A07|Reti|King's Indian attack|Nf3 d5 g3 g6 
A07|Reti|King's Indian attack, Pachman system|Nf3 d5 g3 g6 Bg2 Bg7 O-O e5 d3 Ne7 
A07|Reti|King's Indian attack (with ...c5)|Nf3 d5 g3 c5 
A08|Reti|King's Indian attack|Nf3 d5 g3 c5 Bg2 
A08|Reti|King's Indian attack, French variation|Nf3 d5 g3 c5 Bg2 Nc6 O-O e6 d3 Nf6 Nbd2 Be7 e4 O-O Re1 
A09|Reti opening||Nf3 d5 c4 
A09|Reti|advance variation|Nf3 d5 c4 d4 
A09|Reti accepted||Nf3 d5 c4 dxc4 
A09|Reti accepted|Keres variation|Nf3 d5 c4 dxc4 e3 Be6 
A10|English opening||c4 
A10|English opening||c4 g6 
A10|English|Adorjan defence|c4 g6 e4 e5 
A10|English|Jaenisch gambit|c4 b5 
A10|English|Anglo-Dutch defense|c4 f5 
A11|English|Caro-Kann defensive system|c4 c6 
A12|English|Caro-Kann defensive system|c4 c6 Nf3 d5 b3 
